COMPANY|Stock Date|Stock Open|Stock High|Stock Low|Stock Close|Stock Adj Close|Stock Volume
TSLA|2020-12-31 00:00:00|699.99|718.72|691.12|705.67|705.67|49649900
TSLA|2021-01-04 00:00:00|719.46|744.49|717.19|729.77|729.77|48638200
TSLA|2021-01-05 00:00:00|723.66|740.84|719.2|735.11|735.11|32245200
TSLA|2021-01-06 00:00:00|758.49|774.0|749.1|755.98|755.98|44700000
TSLA|2021-01-07 00:00:00|777.63|816.99|775.2|816.04|816.04|51498900
TSLA|2021-01-08 00:00:00|856.0|884.49|838.39|880.02|880.02|75055500
TSLA|2021-01-11 00:00:00|849.4|854.43|803.62|811.19|811.19|59301600
TSLA|2021-01-12 00:00:00|831.0|868.0|827.34|849.44|849.44|46270700
TSLA|2021-01-13 00:00:00|852.76|860.47|832.0|854.41|854.41|33312500
TSLA|2021-01-14 00:00:00|843.39|863.0|838.75|845.0|845.0|31266300
TSLA|2021-01-15 00:00:00|852.0|859.9|819.1|826.16|826.16|38777600
TSLA|2021-01-19 00:00:00|837.8|850.0|833.0|844.55|844.55|25367000
TSLA|2021-01-20 00:00:00|858.74|859.5|837.28|850.45|850.45|25665900
TSLA|2021-01-21 00:00:00|855.0|855.72|841.42|844.99|844.99|20521100
TSLA|2021-01-22 00:00:00|834.31|848.0|828.62|846.64|846.64|20066500
TSLA|2021-01-25 00:00:00|855.0|900.4|838.82|880.8|880.8|41173400
TSLA|2021-01-26 00:00:00|891.38|895.9|871.6|883.09|883.09|23131600
TSLA|2021-01-27 00:00:00|870.35|891.5|858.66|864.16|864.16|27334000
TSLA|2021-01-28 00:00:00|820.0|848.0|801.0|835.43|835.43|26378000
TSLA|2021-01-29 00:00:00|830.0|842.41|780.1|793.53|793.53|34990800
TSLA|2021-02-01 00:00:00|814.29|842.0|795.56|839.81|839.81|25391400
TSLA|2021-02-02 00:00:00|844.68|880.5|842.2|872.79|872.79|24346200
TSLA|2021-02-03 00:00:00|877.02|878.08|853.06|854.69|854.69|18343500
