,2022-04-02,2021-12-25,2021-09-25,2021-06-26
Intangible Assets,6813000000.0,7270000000.0,7684000000.0,8018000000.0
Total Liab,73220000000.0,73015000000.0,77875000000.0,69390000000.0
Total Stockholder Equity,103136000000.0,95391000000.0,90087000000.0,85207000000.0
Other Current Liab,625000000.0,2555000000.0,556000000.0,618000000.0
Total Assets,176356000000.0,168406000000.0,167962000000.0,154597000000.0
Common Stock,29244000000.0,28006000000.0,27592000000.0,26655000000.0
Other Current Assets,4076000000.0,8897000000.0,8260000000.0,8025000000.0
Retained Earnings,74894000000.0,68265000000.0,63642000000.0,59647000000.0
Other Liab,11110000000.0,11748000000.0,12693000000.0,12840000000.0
Good Will,27011000000.0,26963000000.0,26786000000.0,26768000000.0
Treasury Stock,-1002000000.0,-880000000.0,-1147000000.0,-1095000000.0
Other Assets,7210000000.0,5523000000.0,5452000000.0,5356000000.0
Cash,6215000000.0,4827000000.0,7870000000.0,4746000000.0
Total Current Liabilities,29322000000.0,27462000000.0,29572000000.0,24836000000.0
Short Long Term Debt,4459000000.0,4656000000.0,4694000000.0,3695000000.0
Other Stockholder Equity,-1002000000.0,-880000000.0,-1147000000.0,-1095000000.0
Property Plant Equipment,66718000000.0,63794000000.0,59733000000.0,58166000000.0
Total Current Assets,62568000000.0,57718000000.0,61304000000.0,49372000000.0
Long Term Investments,6036000000.0,7138000000.0,7003000000.0,6917000000.0
Net Tangible Assets,69312000000.0,61158000000.0,55617000000.0,50421000000.0
Short Term Investments,32481000000.0,2103000000.0,4004000000.0,3014000000.0
Net Receivables,7861000000.0,9632000000.0,8611000000.0,7673000000.0
Long Term Debt,32788000000.0,33510000000.0,35610000000.0,31714000000.0
Inventory,11935000000.0,10776000000.0,9798000000.0,8817000000.0
Accounts Payable,7210000000.0,5747000000.0,6792000000.0,5917000000.0
Deferred Long Term Asset Charges,,874000000.0,,
